Klagenummer,AZ VG,Eingang,Land,Vertretung,Klagegrund,Zusatz,Datum VG,OVG Geschäftszeichen,Datum OVG,PKH Geschäftszeichen,Datum PKH,BVerwG Geschäftszeichen,Datum BVerwG
52130,VG 08 K 0179.19 V,6/14/2019,Palästina,Riad,FZ-E,,11/8/2019,,,,,,
52129,VG 38 K 0318.20 V,6/14/2019,Syrien,Istanbul,FZ-E,SUBS,,,,,,,
52129,VG 38 K 0318.20 V,6/14/2019,Syrien,Istanbul,FZ-E,SUBS,11/20/2020,,,,,,
52128,VG 09 K 0262.19 V,6/14/2019,Ghana,Accra,FZ-F,dt Ki,12/18/2019,,,,,,
52127,VG 09 K 0263.19 V,6/14/2019,Syrien,Ankara,SON,Eheschl,4/20/2020,,,,,,
52126,VG 01 K 0374/21 V,6/14/2019,Bosnien und Herzegowina,Sarajewo,EWT,§ 26 II BV,6/2/2022,,,,,,
52125,VG 01 K 0168.19 V,6/14/2019,Marokko,Rabat,BES,,10/7/2020,,,,,,
52124,VG 10 L 0237.19 V,6/14/2019,Afghanistan,Kabul,FZ-E,,8/2/2019,,,,,,
52123,VG 07 K 0253.19 V,6/13/2019,Türkei,Ankara,FZ-E,,3/4/2020,,,,,,
52122,VG 22 K 0073.19 V,6/13/2019,Kosovo,Pristina,BES,,12/9/2019,,,,,,
52121,VG 05 K 0183.19 V,6/13/2019,Syrien,Istanbul,FZ-K,,,,,,,,
52120,VG 05 K 0184.19 V,6/13/2019,Syrien,Istanbul,FZ-K,,,,,,,,
52119,VG 09 K 0261.19 V,6/13/2019,Indien,New Delhi,BES,,3/11/2020,,,,,,
52118,VG 09 K 0258.19 V,6/13/2019,Sri Lanka,Colombo,BES,,5/19/2020,,,,,,
52117,VG 07 K 0259.19 V,6/13/2019,Indonesien,Jakarta,BES,,9/20/2019,,,,,,
52116,VG 09 K 0260.19 V,6/13/2019,Iran,Teheran,EWT,EWTse,4/6/2020,,,,,,
52115,VG 09 K 0267.19 V,6/13/2019,Libanon,Beirut,FZ-E,"UT, EU",2/6/2020,,,,,,
52114,VG 09 K 0268.19 V,6/13/2019,Marokko,Rabat,FZ-E,"SE, LU",11/10/2020,,,,,,
52113,VG 09 K 0259.19 V,6/13/2019,Afghanistan,Teheran,FZ-F,EuGH,6/5/2020,,,,,,
52112,VG 36 K 0237.19 V,6/13/2019,Marokko,Rabat,FZ-E,,6/24/2019,,,,,,
52111,VG 07 K 0255.19 V,6/13/2019,Albanien,Tirana,FZ-E/K,SUB,1/13/2020,,,,,,
52110,VG 07 K 0251.19 V,6/12/2019,Türkei,Ankara,FZ-E,SE,8/27/2020,,,,,,
52109,VG 07 K 0256/19 V,6/12/2019,Somalia,Nairobi,FZ-E/K,,9/30/2022,,,,,,
52108,VG 07 K 0252.19 V,6/12/2019,Pakistan,Rom,FZ-E,,11/26/2019,,,,,,
52107,VG 07 K 0257.19 V,6/12/2019,Thailand,Bangkok,NZ-G,,,,,,,,
52106,VG 07 K 0250.19 V,6/12/2019,Vietnam,Hanoi,EWT,EWTse; unt,1/31/2020,,,,,,
52105,VG 03 K 0351.19 V,6/12/2019,Staatenlos,Beirut,BES,,10/12/2020,OVG 03 N 185/20,1/6/2021,,,,
52104,VG 03 K 0353.19 V,6/12/2019,Äthiopien,Addis Abeba,FZ-E,,7/12/2019,,,,,,
52103,VG 03 K 0352.19 V,6/12/2019,Indien,New Delhi,BES,,2/17/2020,,,,,,
52102,VG 07 K 0254.19 V,6/12/2019,Vietnam,Ho-Chi-Minh-Stadt,FZ-E,SE,3/5/2021,,,,,,
52101,VG 01 K 0171.19 V,6/12/2019,Pakistan,Islamabad,FZ-K,,5/29/2020,,,,,,
52100,VG 01 K 0167.19 V,6/12/2019,Afghanistan,Kabul,BES,,1/23/2020,,,,,,
52099,VG 05 K 0182.19 V,6/12/2019,Syrien,Beirut,BES,,1/26/2021,,,,,,
52098,VG 01 K 0173.19 V,6/12/2019,Pakistan,Islamabad,FZ-E,,11/2/2020,OVG 002 N 131/20,,,,,
52097,VG 01 K 0172.19 V,6/12/2019,Afghanistan,Islamabad,BES,,,,,,,,
52097,VG 01 K 0172.19 V,6/12/2019,Afghanistan,Islamabad,BES,,7/7/2021,,,,,,
52096,VG 05 K 0181.19 V,6/12/2019,Syrien,Istanbul,FZ-F,EuGH,1/29/2021,,,,,,
52095,VG 05 K 0188.19 V,6/12/2019,Bosnien und Herzegowina,Sarajewo,SPR,Ausbildung,11/27/2019,,,,,,
52094,VG 05 K 0180.19 V,6/12/2019,Kosovo,Pristina,BES,,7/4/2019,,,,,,
52093,VG 03 K 0350.19 V,6/12/2019,Algerien,Algier,FZ-E,SE,9/7/2020,,,,,,
52092,VG 06 K 0265.19 V,6/12/2019,Syrien,Istanbul,FZ-F,EuGH,,,,OVG 03 M 187.19,,,
52091,VG 06 K 0268/19 V,6/12/2019,Eritrea,Addis Abeba,FZ-E/K,,,,,,,,
52091,VG 06 K 0268/19 V,6/12/2019,Eritrea,Addis Abeba,FZ-E/K,,6/3/2020,,,,,,
52091,VG 06 K 0268/19 V,6/12/2019,Eritrea,Addis Abeba,FZ-E/K,,3/15/2021,,,,,,
52090,VG 06 L 0283.19 V,6/12/2019,Ghana,Accra,SON,,6/27/2019,OVG 03 S 054.19,8/20/2019,,,,
52089,VG 07 K 0249.19 V,6/11/2019,Bosnien und Herzegowina,Sarajewo,EWT,§ 26 II BV,,,,,,,
52088,VG 04 K 0167.19 V,6/11/2019,Marokko,Rabat,BES,,7/15/2019,,,,,,
52087,VG 04 L 0166.19 V,6/11/2019,Marokko,Rabat,BES,,7/15/2019,,,,,,
52086,VG 06 K 0266.19 V,6/11/2019,Marokko,Rabat,FZ-E,LU,7/15/2020,,,,,,
52085,VG 06 K 0276.19 V,6/11/2019,Türkei,Ankara,FZ-E,SE,,,,,,,
52084,VG 05 K 0179.19 V,6/11/2019,Philippinen,Manila,BES,,10/14/2019,,,,,,
52083,VG 05 K 0187.19 V,6/11/2019,Bosnien und Herzegowina,Sarajewo,SPR,Ausbildung,11/27/2019,,,,,,
52082,VG 05 K 0186.19 V,6/11/2019,Tunesien,Tunis,FZ-E,SE,6/29/2020,,,,,,
52081,VG 05 K 0185.19 V,6/11/2019,Iran,Teheran,BES,,7/10/2019,,,,,,
52080,VG 06 K 0278.19 V,6/11/2019,Kosovo,Pristina,FZ-E,LU,12/5/2019,,,,,,
52079,VG 01 K 0175.19 V,6/11/2019,Iran,Teheran,FZ-E,,10/9/2019,,,,,,
52078,VG 01 K 0169.19 V,6/11/2019,Vietnam,Hanoi,FZ-E,SE,4/23/2020,,,,,,
52077,VG 04 K 0163.19 V,6/11/2019,Indien,Bangalore,EWT,EWTunse,3/18/2020,,,,,,
52076,VG 28 K 0182.19 V,6/7/2019,Palästina,Beirut,FZ-F,,4/1/2021,,,,,,
52075,VG 35 K 0239.19 V,6/7/2019,Irak,Erbil,FZ-E,,12/6/2019,,,,,,
52074,VG 35 K 0238/19 V,6/7/2019,Eritrea,Kampala,FZ-E/K,,2/17/2021,,,,,,
52073,VG 36 K 0241.19 V,6/7/2019,Marokko,Rabat,BES,,12/10/2019,,,,,,
52072,VG 38 K 0069.19 V,6/7/2019,Syrien,Istanbul,FZ-E,SUB,2/17/2020,,,,,,
52071,VG 06 K 0277.19 V,6/7/2019,Unbekannt,OFFEN,BES,unbekannt,9/17/2019,,,,,,
52070,VG 30 K 0214.19 V,6/7/2019,Eritrea,Addis Abeba,FZ-E/K,,4/26/2022,,,,,,
52069,VG 30 K 0208.19 V,6/7/2019,Irak,Erbil,FZ-F,,5/12/2020,,,,,,
52069,VG 30 K 0208.19 V,6/7/2019,Irak,Erbil,FZ-F,,5/15/2020,,,,,,
52069,VG 30 K 0208.19 V,6/7/2019,Irak,Erbil,FZ-F,,2/8/2021,,,,,,
52068,VG 31 K 0335.19 V,6/7/2019,China,Kanton,EWT,,12/1/2020,,,,,,
52067,VG 31 K 0332.19 V,6/7/2019,Libanon,Dubai,BES,,6/11/2019,,,,,,
52066,VG 22 L 0088.19 V,6/7/2019,Iran,Teheran,BES,,7/16/2019,,,,,,
52065,VG 36 K 0239.19 V,6/6/2019,Türkei,Ankara,EWT,,1/21/2020,,,,,,
52064,VG 04 K 0159.19 V,6/6/2019,Pakistan,Islamabad,BES,,6/18/2019,,,,,,
52063,VG 04 K 0161.19 V,6/6/2019,Indien,New Delhi,BES,,10/16/2020,,,,,,
52062,VG 37 K 0327.19 V,6/6/2019,Türkei,Ankara,FZ-E,LU § 29 II 2 Nr. 2,9/12/2019,,,,,,
52061,VG 37 K 0325.19 V,6/6/2019,Türkei,Istanbul,FZ-E,SE,9/10/2021,OVG 11 N 078/21,12/9/2021,,,,
52060,VG 37 K 0326.19 V,6/6/2019,China,Kanton,BES,,1/2/2020,,,,,,
52059,VG 37 K 0328.19 V,6/6/2019,Philippinen,Manila,BES,,9/13/2019,,,,,,
52058,VG 37 K 0324/19 V,6/6/2019,Palästina,Beirut,FZ-F,EuGH,2/15/2022,,,,,,
52057,VG 32 K 0185/19 V,6/6/2019,Eritrea,Khartoum,FZ-E/K,,1/26/2021,,,,,,
52056,VG 04 K 0162.19 V,6/6/2019,Türkei,Ankara,FZ-E,SE,2/14/2020,,,,,,
52055,VG 04 K 0160.19 V,6/6/2019,Palästina,Beirut,FZ-E,UT,7/17/2020,,,,,,
52054,VG 04 K 0164.19 V,6/6/2019,Türkei,Ankara,EWT,,9/30/2021,,,,,,
52053,VG 30 K 0216.19 V,6/6/2019,Afghanistan,Islamabad,FZ-F,§ 36 I,6/12/2020,,,,,,
52052,VG 30 K 0215.19 V,6/6/2019,Montenegro,Podgorica,FZ-E,dt. K; UT,10/21/2020,,,,,,
52051,VG 20 K 0063.19 V,6/6/2019,Irak,Ankara,FZ-E,,2/5/2020,,,,,,
52050,VG 20 K 0062.19 V,6/6/2019,Kosovo,Pristina,FZ-E,SE,11/27/2019,,,,,,
52049,VG 24 K 0225.19 V,6/6/2019,Nigeria,Lagos,BES,,1/3/2020,,,,,,
52048,VG 04 K 0157.19 V,6/6/2019,Syrien,Dubai,FZ-E,EHEwi,3/3/2020,,,,,,
52047,VG 38 K 0057.19 V,6/6/2019,Syrien,Dubai,FZ-F,EuGH,8/26/2019,OVG 03 N 321.19,10/29/2019,,,,
52046,VG 36 K 0243.19 V,6/6/2019,Marokko,Rabat,FZ-E,SE,10/8/2020,,,,,,
52045,VG 36 K 0248.19 V,6/6/2019,Syrien,Erbil,FZ-E/K,EuGH,10/4/2019,,,,,,
52044,VG 32 K 0186/19 V,6/6/2019,Eritrea,Nairobi,FZ-K,,,,,,,,
52043,VG 37 K 0323.19 V,6/6/2019,Thailand,Bangkok,BES,,6/6/2019,,,,,,
52042,VG 37 K 0319.19 V,6/6/2019,Syrien,Beirut,STU,,1/8/2020,,,,,,
52041,VG 37 K 0320.19 V,6/6/2019,Eritrea,Addis Abeba,FZ-E/K,,3/29/2021,,,,,,
52040,VG 29 K 0109.19 V,6/6/2019,Albanien,Tirana,FZ-E,,6/12/2019,,,,,,
52039,VG 28 K 0189.19 V,6/6/2019,Pakistan,Islamabad,FZ-E,,9/26/2019,,,,,,
52038,VG 30 K 0211/19 V,6/6/2019,Eritrea,Addis Abeba,FZ-K,,,,,,,,
52037,VG 30 K 0210/19 V,6/6/2019,Eritrea,Addis Abeba,FZ-K,,,,,,,,
52036,VG 30 K 0212/19 V,6/6/2019,Eritrea,Addis Abeba,FZ-K,,,,,,,,
52035,VG 30 K 0209/19 V,6/6/2019,Eritrea,Addis Abeba,FZ-E,,,,,,,,
52034,VG 24 L 0257.19 V,6/5/2019,Iran,Teheran,BES,,6/17/2019,OVG 03 S 044.19,6/28/2019,,,,
52033,VG 23 L 0328.19 V,6/5/2019,Iran,Teheran,BES,,6/18/2019,OVG 03 S 045.19,6/28/2019,,,,
52032,VG 38 K 0383.19 V,6/4/2019,Palästina,Kuala Lumpur,FZ-F,SUBS,3/22/2022,,,,,,
52031,VG 16 K 0538.19 V,6/4/2019,Libanon,Rom,STU,VIK,11/13/2019,,,,,,
52030,VG 30 K 0213/19 V,6/4/2019,Eritrea,Addis Abeba,FZ-K,,,,,,,,
52029,VG 32 K 0182.19 V,6/4/2019,Syrien,Istanbul,FZ-F,EuGH,12/30/2020,,,,,,
52028,VG 32 K 0183.19 V,6/4/2019,Irak,Ankara,FZ-K,,1/10/2020,,,,,,
52028,VG 32 K 0183.19 V,6/4/2019,Irak,Ankara,FZ-K,,9/21/2020,,,,,,
52027,VG 26 L 0196/19 V,6/3/2019,Iran,Teheran,BES,,,,,,,,
52026,VG 35 K 0235.19 V,6/3/2019,Iran,Teheran,FZ-E,,6/25/2020,,,,,,
52025,VG 28 K 0190.19 V,6/3/2019,Eritrea,Addis Abeba,FZ-E/K,UT,5/5/2021,,,,,,
52024,VG 20 K 0058.19 V,6/3/2019,Türkei,Ankara,FZ-E,LU,11/12/2020,OVG 11 N 113/20,2/23/2022,,,,
52023,VG 33 K 0220.19 V,6/3/2019,Syrien,Amman,FZ-K,,11/17/2020,,,,,,
52022,VG 28 K 0184.19 V,6/3/2019,Türkei,Ankara,FZ-K,SorgeR,6/23/2021,,,,,,
52021,VG 20 K 0057.19 V,6/3/2019,Indien,New Delhi,FZ-E/K,LU,,,,OVG 12 M 045/20,2/17/2021,,
52021,VG 20 K 0057.19 V,6/3/2019,Indien,New Delhi,FZ-E/K,LU,,,,OVG 12 M 045/20,2/17/2021,,
52020,VG 33 K 0221.19 V,6/3/2019,Kosovo,Pristina,EWT,§ 26 II,3/18/2020,,,,,,
52019,VG 25 K 0247/19 V,5/31/2019,Eritrea,Addis Abeba,FZ-E/K,,,,,,,,
52019,VG 25 K 0247.19 V,5/31/2019,Eritrea,Addis Abeba,FZ-E/K,,10/21/2020,,,,,,
52018,VG 25 K 0241.19 V,5/31/2019,Algerien,Algier,BES,,9/3/2020,,,,,,
52017,VG 33 K 0215.19 V,5/31/2019,Ägypten,Kairo,EWT,SE,12/1/2020,,,,,,
52016,VG 33 K 0217.19 V,5/31/2019,Irak,Ankara,FZ-F,§ 36 II,10/22/2019,,,,,,
52015,VG 20 K 0055.19 V,5/31/2019,Russland,Moskau,BES,,6/20/2019,,,,,,
52014,VG 36 K 0242.19 V,5/31/2019,Indien,New Delhi,BES,,,,,,,,
52014,VG 36 K 0242.19 V,5/31/2019,Indien,New Delhi,BES,,8/5/2020,,,,,,
52013,VG 36 K 0240.19 V,5/31/2019,Türkei,Izmir,SPR,,6/4/2019,,,,,,
52012,VG 38 K 0066.19 V,5/31/2019,Syrien,Erbil,FZ-E,SUB,2/19/2021,,,,,,
52011,VG 28 K 0183.19 V,5/31/2019,Syrien,Beirut,BES,,8/12/2019,,,,,,
52010,VG 28 K 0185.19 V,5/31/2019,Thailand,Bangkok,BES,,7/11/2019,,,,,,
52009,VG 38 K 0055/19 V,5/31/2019,Syrien,Erbil,FZ-E/K,SUBS,10/2/2020,OVG 00 B 000/00,10/3/2020,,,BVerwG 1 C 61.20,3/31/2021
52008,VG 15 L 0217.19 V,5/31/2019,Syrien,Beirut,FZ-F,EUGH,6/6/2019,OVG 03 S 042.19,7/12/2019,,,,
52007,VG 37 K 0321.19 V,5/29/2019,Irak,Bagdad,BES,,7/16/2019,,,,,,
52006,VG 37 L 0317.19 V,5/29/2019,Irak,Bagdad,BES,,6/5/2019,,,,,,
52005,VG 37 K 0322.19 V,5/29/2019,Irak,Bagdad,BES,,7/16/2019,,,,,,
52004,VG 37 L 0318.19 V,5/29/2019,Irak,Bagdad,BES,,6/5/2019,,,,,,
52003,VG 29 K 0110.19 V,5/29/2019,Irak,Erbil,FZ-F,,,,,,,,
52002,VG 26 K 0179.19 V,5/29/2019,Algerien,Algier,BES,,6/20/2019,,,,,,
52001,VG 33 K 0219/19 V,5/29/2019,Eritrea,Addis Abeba,FZ-E/K,,1/12/2022,,,,,,
52000,VG 27 K 0144.19 V,5/29/2019,Kosovo,Pristina,FZ-K,Dt./Unt,7/3/2019,,,,,,
51999,VG 27 K 0142.19 V,5/29/2019,Somalia,Kampala,FZ-K,,,,,,,,
51998,VG 27 K 0143.19 V,5/29/2019,Somalia,Kampala,FZ-K,,,,,,,,
51997,VG 27 K 0145.19 V,5/29/2019,Serbien,Belgrad,EWT,UT,1/6/2020,,,,,,
51996,VG 33 L 0218.19 V,5/29/2019,Türkei,Ankara,EWT,,6/28/2019,,,,,,
51995,VG 28 L 0195.19 V,5/29/2019,Marokko,Rabat,FZ-E,EU,,,,,,,
51994,VG 31 K 0337.19 V,5/28/2019,Kosovo,Pristina,BES,EWTunse,6/26/2019,,,,,,
51993,VG 31 L 0336.19 V,5/28/2019,Kosovo,Pristina,BES,EWTunse,6/26/2019,,,,,,
51992,VG 31 K 0339.19 V,5/28/2019,Kosovo,Pristina,BES,EWTunse,6/26/2019,,,,,,
51991,VG 31 L 0338.19 V,5/28/2019,Kosovo,Pristina,BES,EWTunse,6/26/2019,,,,,,
51990,VG 31 K 0334/19 V,5/28/2019,Kosovo,Pristina,BES,EWTunse,8/26/2019,,,,,,
51989,VG 31 L 0333.19 V,5/28/2019,Kosovo,Pristina,BES,EWTunse,6/26/2019,,,,,,
51988,VG 31 K 0341.19 V,5/28/2019,Kosovo,Pristina,BES,EWTunse,6/26/2019,,,,,,
51987,VG 31 L 0340.19 V,5/28/2019,Kosovo,Pristina,BES,EWTunse,6/26/2019,,,,,,
51986,VG 25 K 0245.19 V,5/28/2019,Marokko,Rabat,BES,UT,4/21/2020,,,,,,
51985,VG 38 K 0085.19 V,5/28/2019,Syrien,Beirut,FZ-F,SUBS,,,,,,,
51984,VG 29 K 0106.19 V,5/28/2019,Bangladesch,Dhaka,BES,,9/10/2019,,,,,,
51983,VG 29 K 0102.19 V,5/28/2019,Nigeria,Lagos,BES,,10/15/2019,,,,,,
51982,VG 33 K 0213/19 V,5/28/2019,Eritrea,Nairobi,FZ-E,,,,,,,,
51981,VG 33 K 0216.19 V,5/28/2019,Libanon,Beirut,FZ-E,"UT, SE",8/5/2021,OVG 03 N 180/21,11/18/2021,,,,
51980,VG 28 K 0188.19 V,5/28/2019,Pakistan,Islamabad,BES,,2/26/2020,,,,,,
51979,VG 33 K 0214/19 V,5/28/2019,Eritrea,Nairobi,FZ-K,,,,,,,,
51978,VG 32 K 0179.19 V,5/28/2019,Thailand,Bangkok,BES,,11/22/2019,,,,,,
51977,VG 25 K 0246.19 V,5/28/2019,Türkei,Ankara,FZ-K,,7/1/2020,,,,,,
51976,VG 26 K 0176.19 V,5/28/2019,Syrien,Erbil,FZ-E,SUB,,,,,,,
51975,VG 26 K 0178.19 V,5/28/2019,Eritrea,Khartoum,FZ-E,,12/3/2021,OVG 3 N 10/22,3/16/2022,,,,
51974,VG 26 K 0175.19 V,5/28/2019,Marokko,Rabat,FZ-F,Ausw,1/17/2020,,,,,,
51973,VG 30 K 0218.19 V,5/27/2019,Tunesien,Tunis,BES,,3/26/2020,,,,,,
51972,VG 30 L 0217.19 V,5/27/2019,Tunesien,Tunis,BES,,6/20/2019,,,,,,
51971,VG 28 K 0187.19 V,5/27/2019,Philippinen,Manila,BES,,1/28/2020,OVG 02 N 023/20,4/6/2020,,,,
51969,VG 26 K 0174.19 V,5/27/2019,Vietnam,Hanoi,BES,,8/19/2019,,,,,,
51968,VG 26 K 0172.19 V,5/27/2019,Vietnam,Hanoi,EWT,,9/6/2019,,,,,,
51967,VG 28 K 0181/19 V,5/27/2019,Malawi,Lusaka,FZ-E,,8/13/2019,,,,,,
51966,VG 27 K 0174.19 V,5/27/2019,Ghana,Accra,EWT,,,,,,,,
51966,VG 27 K 0174.19 V,5/27/2019,Ghana,Accra,EWT,,1/20/2020,,,,,,
51965,VG 26 K 0171.19 V,5/27/2019,Syrien,Beirut,BES,,3/17/2020,,,,,,
51964,VG 25 K 0240.19 V,5/27/2019,Nigeria,Lagos,BES,,5/29/2019,,,,,,
51963,VG 25 K 0249.19 V,5/27/2019,Afghanistan,New Delhi,FZ-K,SorgeR,12/28/2021,,,,,,
51962,VG 25 K 0248.19 V,5/27/2019,Marokko,Rabat,FZ-E,LU,10/24/2019,,,,,,
51961,VG 25 K 0244.19 V,5/27/2019,Ghana,Accra,EWT,Au Pair,11/21/2019,,,,,,
51960,VG 25 K 0243.19 V,5/27/2019,Syrien,Beirut,FZ-E,Kindesehe,1/6/2020,,,,,,
51959,VG 23 K 0296.19 V,5/27/2019,Syrien,Beirut,FZ-F,EuGH,9/20/2021,,,,,,
51958,VG 23 K 0298.19 V,5/27/2019,Iran,Teheran,BES,,7/25/2019,,,,,,
51957,VG 23 K 0297.19 V,5/27/2019,Türkei,Izmir,STU,,2/28/2020,,,,,,
51956,VG 23 K 0294.19 V,5/27/2019,Indien,New Delhi,BES,,2/20/2020,,,,,,
51955,VG 23 K 0291.19 V,5/27/2019,Marokko,Rabat,BES,,4/8/2020,,,,,,
51954,VG 23 K 0290.19 V,5/27/2019,Nordmazedonien,Skopje,EWT,§ 26 II,11/27/2020,,,,,,
51953,VG 29 K 0104.19 V,5/27/2019,Syrien,Beirut,FZ-F,EuGH,1/7/2020,,,,,,
51952,VG 29 K 0103.19 V,5/27/2019,Marokko,Rabat,FZ-E,SE,11/28/2019,,,,,,
51951,VG 14 K 0094.19 V,5/27/2019,Irak,Erbil,BES,VIK,2/1/2021,,,,,,
51950,VG 26 K 0181/09 V,5/27/2019,Somalia,Kampala,FZ-K,,,,,,,,
51949,VG 24 K 0229.19 V,5/24/2019,Syrien,Erbil,FZ-F,EuGH,,,,,,,
51948,VG 29 K 0105.19 V,5/24/2019,Nigeria,Lagos,FZ-K,UT,,,,,,,
51947,VG 29 K 0107.19 V,5/24/2019,Ukraine,Kiew,EWT,unse,7/23/2020,,,,,,
51946,VG 23 K 0286.19 V,5/24/2019,Afghanistan,New Delhi,FZ-E,,12/10/2020,,,,,,
51945,VG 38 K 0053.19 V,5/24/2019,Syrien,Istanbul,FZ-F,SUBS,12/20/2019,,,,,,
51944,VG 23 K 0287.19 V,5/24/2019,Algerien,Algier,FZ-E,SE,11/26/2020,,,,,,
51943,VG 23 K 0288.19 V,5/24/2019,Marokko,Rabat,BES,,12/27/2019,,,,,,
51942,VG 23 K 0289.19 V,5/24/2019,Nigeria,Lagos,BES,,3/23/2020,,,,,,
51941,VG 26 K 0180.19 V,5/24/2019,Iran,Teheran,BES,,7/5/2019,,,,,,
51940,VG 26 K 0170.19 V,5/24/2019,Ghana,Accra,BES,,1/22/2020,,,,,,
51939,VG 32 L 0191.19 V,5/23/2019,Armenien,Eriwan,BES,VK,,,,,,,
51938,VG 27 K 0149/19 V,5/23/2019,Eritrea,Addis Abeba,FZ-E,,,,,,,,
51938,VG 27 K 0149.19 V,5/23/2019,Eritrea,Addis Abeba,FZ-E,,4/14/2021,,,,,,
51937,VG 24 K 0223.19 V,5/23/2019,Syrien,Beirut,FZ-E,UT,10/18/2019,,,,,,
51936,VG 24 K 0231.19 V,5/23/2019,Türkei,Ankara,FZ-F,dt Ki,7/28/2021,OVG 11 N 067/21,3/16/2022,,,,
51935,VG 24 K 0234.19 V,5/23/2019,Dominica,Santo Domingo,FZ-E,EU,12/2/2019,,,,,,
51934,VG 24 K 0230/19 V,5/23/2019,Eritrea,Addis Abeba,FZ-E/K,,,,,,,,
51934,VG 24 K 0230.19 V,5/23/2019,Eritrea,Addis Abeba,FZ-E/K,,9/3/2021,,,,,,
51933,VG 16 K 0501.19 V,5/23/2019,Irak,Amman,FZ-K,,12/2/2019,,,,,,
51932,VG 27 K 0148.19 V,5/23/2019,Syrien,Beirut,FZ-F,TER,,,,,,,
51931,VG 27 K 0152.19 V,5/23/2019,Bosnien und Herzegowina,Sarajewo,FZ-K,Dt,6/5/2020,OVG 12 N 130.20,3/30/2021,,,,
51930,VG 27 K 0151.19 V,5/23/2019,Bosnien und Herzegowina,Sarajewo,FZ-K,Dt,6/5/2020,OVG 12 N 127.20,3/30/2021,,,,
51929,VG 16 K 0494.19 V,5/23/2019,Eritrea,Addis Abeba,FZ-E/K,,2/27/2020,,,,,,
51928,VG 22 K 0074.19 V,5/23/2019,Pakistan,Islamabad,FZ-E,,3/29/2022,,,,,,
51927,VG 24 K 0224.19 V,5/23/2019,Syrien,Beirut,STU,,3/17/2020,,,,,,
51926,VG 24 K 0222.19 V,5/23/2019,Iran,Teheran,BES,,7/25/2019,OVG 11 N 007/20,,,,,
51925,VG 32 K 0178.19 V,5/23/2019,Kosovo,Pristina,BES,EWTunse,6/26/2019,,,,,,
51924,VG 32 L 0177.19 V,5/23/2019,Kosovo,Pristina,BES,EWTunse,6/26/2019,,,,,,
51970,VG 28 L 0186/19 V,5/22/2019,Philippinen,Manila,BES,,5/27/2019,,,,,,
51923,VG 01 K 0114/19 V,5/22/2019,Eritrea,Addis Abeba,FZ-E/K,,9/28/2020,OVG 03 B 034/21,9/1/2021,,,,
51922,VG 22 K 0075.19 V,5/22/2019,Iran,Teheran,FZ-K,,7/24/2020,,,,,,
51921,VG 20 K 0056.19 V,5/22/2019,Pakistan,Rom,FZ-E,,,,,,,,
51921,VG 20 K 0056.19 V,5/22/2019,Pakistan,Rom,FZ-E,,6/9/2021,,,,,,
51920,VG 22 K 0078.19 V,5/22/2019,Tunesien,Tunis,FZ-E,SE,6/14/2019,,,,,,
51919,VG 20 K 0059.19 V,5/22/2019,Türkei,Ankara,BES,,10/18/2019,,,,,,
51918,VG 24 K 0233.19 V,5/21/2019,Kamerun,Jaunde,BES,,7/3/2019,,,,,,
51917,VG 24 L 0232.19 V,5/21/2019,Kamerun,Jaunde,BES,,7/15/2019,,,,,,
51916,VG 22 K 0080.19 V,5/21/2019,Türkei,Ankara,FZ-E,SPR,2/17/2020,,,,,,
51915,VG 22 K 0079.19 V,5/21/2019,Pakistan,Islamabad,FZ-F,,9/9/2020,OVG 02 N 107/20,2/12/2021,,,,
51914,VG 16 K 0502.19 V,5/21/2019,Nordmazedonien,Skopje,EWT,,6/22/2020,,,,,,
51913,VG 22 K 0081.19 V,5/21/2019,Iran,Teheran,BES,,7/11/2019,,,,,,
51912,VG 16 K 0497.19 V,5/20/2019,Syrien,Beirut,BES,,8/26/2019,,,,,,
51911,VG 16 L 0496.19 V,5/20/2019,Syrien,Beirut,BES,,9/26/2019,,,,,,
51910,VG 22 K 0077.19 V,5/20/2019,Philippinen,Manila,BES,,6/3/2019,,,,,,
51909,VG 22 L 0076.19 V,5/20/2019,Philippinen,Manila,BES,,6/14/2019,,,,,,
51908,VG 27 L 0146.19 V,5/20/2019,Philippinen,Manila,BES,,5/22/2019,,,,,,
51907,VG 21 K 0173.19 V,5/20/2019,Irak,Erbil,SON,,,,,,,,
51906,VG 22 K 0072.19 V,5/20/2019,Vietnam,Ho-Chi-Minh-Stadt,FZ-K,UT,10/28/2021,,,,,,
51905,VG 11 L 0214.19 V,5/20/2019,Syrien,Erbil,FZ-K,,6/14/2019,,,,,,
51904,VG 21 K 0164.19 V,5/20/2019,Pakistan,Islamabad,BES,,4/1/2020,,,,,,
51903,VG 21 K 0166.19 V,5/20/2019,Thailand,Bangkok,BES,,6/17/2019,,,,,,
51902,VG 21 K 0174.19 V,5/20/2019,Syrien,Beirut,FZ-F,§ 36 II,5/28/2020,,,,,,
51901,VG 21 K 0163.19 V,5/20/2019,Irak,Ankara,FZ-E,,8/20/2020,,,,,,
51900,VG 20 K 0061.19 V,5/20/2019,Demokratische Republik Kongo,Kinshasa,FZ-E,SE,9/4/2020,,,,,,
51899,VG 21 K 0170.19 V,5/20/2019,Marokko,Rabat,FZ-E,SE,4/22/2020,,,,,,
51898,VG 18 K 0315/19 V,5/20/2019,Somalia,Kairo,FZ-F,§ 36 I,,,,OVG 03 M 178/20,,,
